URN,Subteam,SEN
103639,COV,
103641,COV,
103642,COV,
103643,COV,
103648,COV,
103652,COV,
103655,COV,
103656,COV,
103658,COV,
103662,COV,
103663,COV,
103664,COV,
103665,COV,
103666,COV,
103667,COV,
103671,COV,
103672,COV,
103673,COV,
103674,COV,
103676,COV,
103679,COV,
103680,COV,
103681,COV,
103682,COV,
103684,COV,
103685,COV,
103686,COV,
103690,COV,
103691,COV,
103692,COV,
103696,COV,
103697,COV,
103698,COV,
103702,COV,
103703,COV,
103711,COV,
103712,COV,
103719,COV,
103724,COV,
103726,COV,
103747,COV,
103750,COV,
103750,COV,
103751,COV,
103753,COV,
103754,COV,
103754,COV,
103760,COV,SEN
103763,COV,
125500,N WARKS,
125507,S WARKS,
125510,N WARKS,
125511,S WARKS,
125512,N WARKS,
125513,N WARKS,
125515,N WARKS,
125519,S WARKS,
125521,S WARKS,
125525,S WARKS,
125526,S WARKS,
125528,S WARKS,
125530,S WARKS,
125537,N WARKS,
125539,N WARKS,
125545,N WARKS,
125550,S WARKS,
125551,S WARKS,
125552,S WARKS,
125554,S WARKS,
125559,S WARKS,
125560,S WARKS,
125561,S WARKS,
125562,S WARKS,
125563,S WARKS,
125565,S WARKS,
125566,S WARKS,
125570,N WARKS,
125573,N WARKS,
125575,N WARKS,
125576,N WARKS,
125579,N WARKS,
125580,N WARKS,
125581,N WARKS,
125584,N WARKS,
125585,N WARKS,
125591,N WARKS,
125595,N WARKS,
125598,N WARKS,
125603,N WARKS,
125605,N WARKS,
125607,S WARKS,
125609,S WARKS,
125610,S WARKS,
125616,N WARKS,
125618,N WARKS,
125620,N WARKS,
125623,S WARKS,
125625,S WARKS,
125631,S WARKS,
125635,S WARKS,
125637,S WARKS,
125639,S WARKS,
125640,S WARKS,
125646,S WARKS,
125653,N WARKS,
125654,N WARKS,
125656,N WARKS,
125657,S WARKS,
125660,S WARKS,
125662,S WARKS,
125665,S WARKS,
125666,S WARKS,
125667,S WARKS,
125670,N WARKS,
125676,N WARKS,
125677,N WARKS,
125681,S WARKS,
125682,N WARKS,
125684,N WARKS,
125689,N WARKS,
125701,S WARKS,
125714,S WARKS,
125716,S WARKS,
125717,S WARKS,
125719,N WARKS,
125721,N WARKS,
125729,S WARKS,
125760,S WARKS,
125761,N WARKS,
125762,S WARKS,
125764,N WARKS,
125772,S WARKS,
125773,N WARKS,
125774,S WARKS,
125775,S WARKS,
125777,N WARKS,
125778,N WARKS,
125780,S WARKS,
125781,S WARKS,
125784,N WARKS,
125787,N WARKS,
125788,S WARKS,
125790,N WARKS,
125791,S WARKS,
