URN,SEN,ICB Shortname
102256,,HWE ICB
108886,SEN,C&P ICB
109413,,BLMK ICB
109415,,BLMK ICB
109417,,BLMK ICB
109418,,BLMK ICB
109419,,BLMK ICB
109420,,BLMK ICB
109421,,BLMK ICB
109422,,BLMK ICB
109423,,BLMK ICB
109428,,BLMK ICB
109429,,BLMK ICB
109432,,BLMK ICB
109433,,BLMK ICB
109436,,BLMK ICB
109440,,BLMK ICB
109442,,BLMK ICB
109443,,BLMK ICB
109446,,BLMK ICB
109451,,BLMK ICB
109452,,BLMK ICB
109456,,BLMK ICB
109457,,BLMK ICB
109458,,BLMK ICB
109459,,BLMK ICB
109460,,BLMK ICB
109462,,BLMK ICB
109463,,BLMK ICB
109464,,BLMK ICB
109466,,BLMK ICB
109468,,BLMK ICB
109469,,BLMK ICB
109471,,BLMK ICB
109472,,BLMK ICB
109473,,BLMK ICB
109475,,BLMK ICB
109476,,BLMK ICB
109479,,BLMK ICB
109480,,BLMK ICB
109481,,BLMK ICB
109482,,BLMK ICB
109483,,BLMK ICB
109484,,BLMK ICB
109486,,BLMK ICB
109487,,BLMK ICB
109489,,BLMK ICB
109492,,BLMK ICB
109493,,BLMK ICB
109495,,BLMK ICB
109502,,BLMK ICB
109503,,BLMK ICB
109504,,BLMK ICB
109506,,BLMK ICB
109507,,BLMK ICB
109508,,BLMK ICB
109509,,BLMK ICB
109512,,BLMK ICB
109513,,BLMK ICB
109515,,BLMK ICB
109521,,BLMK ICB
109522,,BLMK ICB
109523,,BLMK ICB
109527,,BLMK ICB
109534,,BLMK ICB
109546,,BLMK ICB
109548,,BLMK ICB
109552,,BLMK ICB
109553,,BLMK ICB
109556,,BLMK ICB
109558,,BLMK ICB
109560,,BLMK ICB
109562,,BLMK ICB
109564,,BLMK ICB
109567,,BLMK ICB
109571,,BLMK ICB
109572,,BLMK ICB
109574,,BLMK ICB
109575,,BLMK ICB
109578,,BLMK ICB
109579,,BLMK ICB
109581,,BLMK ICB
109583,,BLMK ICB
109584,,BLMK ICB
109585,,BLMK ICB
109588,,BLMK ICB
109590,,BLMK ICB
109591,,BLMK ICB
109594,,BLMK ICB
109595,,BLMK ICB
109599,,BLMK ICB
109603,,BLMK ICB
109604,,BLMK ICB
109605,,BLMK ICB
109609,,BLMK ICB
109610,,BLMK ICB
109611,,BLMK ICB
109613,,BLMK ICB
109615,,BLMK ICB
109617,,BLMK ICB
109618,,BLMK ICB
109619,,BLMK ICB
109622,,BLMK ICB
109624,,BLMK ICB
109626,,BLMK ICB
109627,,BLMK ICB
109628,,BLMK ICB
109635,,BLMK ICB
109664,,BLMK ICB
109666,,BLMK ICB
109669,,BLMK ICB
109686,,BLMK ICB
109689,,BLMK ICB
109690,,BLMK ICB
109694,,BLMK ICB
109702,,BLMK ICB
109703,,BLMK ICB
109707,,BLMK ICB
109715,,BLMK ICB
109717,,BLMK ICB
109718,,BLMK ICB
109720,,BLMK ICB
109726,,BLMK ICB
109727,,BLMK ICB
109728,,BLMK ICB
109739,SEN,BLMK ICB
109742,SEN,BLMK ICB
109743,SEN,BLMK ICB
109744,SEN,BLMK ICB
109745,SEN,BLMK ICB
109746,SEN,BLMK ICB
110197,,BLMK ICB
110213,,BLMK ICB
110230,,BLMK ICB
110231,,BLMK ICB
110240,,BLMK ICB
110252,,BLMK ICB
110256,,BLMK ICB
110257,,BLMK ICB
110327,,BLMK ICB
110330,,BLMK ICB
110345,,BLMK ICB
110355,,BLMK ICB
110363,,BLMK ICB
110365,,BLMK ICB
110366,,BLMK ICB
110367,,BLMK ICB
110368,,BLMK ICB
110369,,BLMK ICB
